Stimmart,AGS,"Landkreis-nummer","Gemeinde-nummer",Gemeindename,Art des Wahl-vorschlags,Kurzname,"MerkmalLangname",Anzahl,in Prozent,Sitze,darunter Sitze weiblich
Gemeindevertretung,1206320202,63,202,Mühlenberge,,Wähler,Wähler,430,67.8,0,0
Gemeindevertretung,1206320202,63,202,Mühlenberge,,Wahlschein,Wahlschein,85,19.8,0,0
Gemeindevertretung,1206320202,63,202,Mühlenberge,,Gueltig,Gueltig,1226,95,0,0
Gemeindevertretung,1206320202,63,202,Mühlenberge,,Ungueltig,Ungueltig,19,4.4,0,0
Gemeindevertretung,1206320202,63,202,Mühlenberge,,Sitze,Sitze,10,100,0,0
Gemeindevertretung,1206320202,63,202,Mühlenberge,P,SPD,Sozialdemokratische Partei Deutschlands,85,6.9,1,0
Gemeindevertretung,1206320202,63,202,Mühlenberge,WG,WUM,Wählerunion Mühlenberge,802,65.4,7,1
Gemeindevertretung,1206320202,63,202,Mühlenberge,WG,BBM,Bürgerbündnis Mühlenberge,282,23,2,1
Gemeindevertretung,1206320202,63,202,Mühlenberge,EB,EB Woehlert,Einzelbewerber Thomas Woehlert,35,2.9,0,0
Gemeindevertretung,1206320202,63,202,Mühlenberge,EB,EB Kohlberger,Einzelbewerber Ralf Kohlberger ,22,1.8,0,0
Gemeindevertretung,1206322802,63,228,Paulinenaue,,Wahlberechtigt,Wahlberechtigt,1162,100,0,0
Gemeindevertretung,1206322802,63,228,Paulinenaue,,Wähler,Wähler,757,65.1,0,0
Gemeindevertretung,1206322802,63,228,Paulinenaue,,Wahlschein,Wahlschein,120,15.9,0,0
Gemeindevertretung,1206322802,63,228,Paulinenaue,,Gueltig,Gueltig,2213,97.4,0,0
Gemeindevertretung,1206322802,63,228,Paulinenaue,,Ungueltig,Ungueltig,15,2,0,0
Gemeindevertretung,1206322802,63,228,Paulinenaue,,Sitze,Sitze,10,100,0,0
Gemeindevertretung,1206322802,63,228,Paulinenaue,P,SPD,Sozialdemokratische Partei Deutschlands,602,27.2,3,2
Gemeindevertretung,1206322802,63,228,Paulinenaue,P,DIE LINKE,DIE LINKE,251,11.3,1,1
Gemeindevertretung,1206322802,63,228,Paulinenaue,WG,WG FF Paulinenaue,Wählergruppe FF Paulinenaue e.V.,670,30.3,3,0
Gemeindevertretung,1206322802,63,228,Paulinenaue,WG,WG Für Selbelang,"Wählergruppe ""Für Selbelang""",353,16,2,0
Gemeindevertretung,1206322802,63,228,Paulinenaue,WG,WG Kulturverein,Paulinenauer Kulturverein e.V.,230,10.4,1,1
Gemeindevertretung,1206322802,63,228,Paulinenaue,EB,EB Müller,Einzelbewerber Tino Müller,107,4.8,0,0
Gemeindevertretung,1206324002,63,240,Pessin,,Wahlberechtigt,Wahlberechtigt,566,100,0,0
Gemeindevertretung,1206324002,63,240,Pessin,,Wähler,Wähler,335,59.2,0,0
Gemeindevertretung,1206324002,63,240,Pessin,,Wahlschein,Wahlschein,57,17,0,0
Gemeindevertretung,1206324002,63,240,Pessin,,Gueltig,Gueltig,967,96.2,0,0
Gemeindevertretung,1206324002,63,240,Pessin,,Ungueltig,Ungueltig,10,3,0,0
Gemeindevertretung,1206324002,63,240,Pessin,,Sitze,Sitze,8,100,0,0
Gemeindevertretung,1206324002,63,240,Pessin,WG,WG Landleben,Wählergruppe Landleben,368,38.1,3,0
Gemeindevertretung,1206324002,63,240,Pessin,WG,WG PCC,Pessiner Carneval Club Rot-Weiß e.V.,389,40.2,3,1
Gemeindevertretung,1206324002,63,240,Pessin,EB,EB Bangert,Einzelbewerber Andreas Bangert,113,11.7,1,0
Gemeindevertretung,1206324002,63,240,Pessin,EB,EB Sengebusch-Kähne,Einzelbewerber Sven Sengebusch-Kähne,97,10,1,0
Gemeindevertretung,1206325602,63,256,Retzow,,Wahlberechtigt,Wahlberechtigt,440,100,0,0
Gemeindevertretung,1206325602,63,256,Retzow,,Wähler,Wähler,242,55,0,0
Gemeindevertretung,1206325602,63,256,Retzow,,Wahlschein,Wahlschein,31,12.8,0,0
Gemeindevertretung,1206325602,63,256,Retzow,,Gueltig,Gueltig,705,97.1,0,0
Gemeindevertretung,1206325602,63,256,Retzow,,Ungueltig,Ungueltig,7,2.9,0,0
Gemeindevertretung,1206325602,63,256,Retzow,,Sitze,Sitze,8,100,0,0
Gemeindevertretung,1206325602,63,256,Retzow,WG,Ländliche WG,Ländliche Wählergemeinschaft,705,100,8,4
Gemeindevertretung,1206316506,63,165,Kotzen,,Wahlberechtigt,Wahlberechtigt,487,100,0,0
Gemeindevertretung,1206316506,63,165,Kotzen,,Wähler,Wähler,329,67.6,0,0
Gemeindevertretung,1206316506,63,165,Kotzen,,Wahlschein,Wahlschein,50,15.2,0,0
Gemeindevertretung,1206316506,63,165,Kotzen,,Gueltig,Gueltig,964,97.7,0,0
Gemeindevertretung,1206316506,63,165,Kotzen,,Ungueltig,Ungueltig,6,1.8,0,0
Gemeindevertretung,1206316506,63,165,Kotzen,,Sitze,Sitze,8,100,0,0
Gemeindevertretung,1206316506,63,165,Kotzen,WG,"WG ""Proaktiv Kotzen""","Wählergruppe ""Proaktiv Kotzen""",369,38.3,3,1
Gemeindevertretung,1206316506,63,165,Kotzen,WG,W.I-L,Interessengruppe Landin,185,19.2,2,1
Gemeindevertretung,1206316506,63,165,Kotzen,WG,WG Dorf-Natur-Kultur,Wählergruppe Dorf-Natur-Kultur,191,19.8,2,1
Gemeindevertretung,1206316506,63,165,Kotzen,EB,EB Hünicke,Einzelwahlvorschlag Hünicke,128,13.3,1,0
Gemeindevertretung,1206316506,63,165,Kotzen,EB,EB Müller,Einzelwahlvorschlag Müller,38,3.9,0,0
Gemeindevertretung,1206316506,63,165,Kotzen,EB,EB Blask,Einzelwahlvorschlag Blask,42,4.4,0,0
Gemeindevertretung,1206316506,63,165,Kotzen,EB,EB Herkt,Einzelwahlvorschlag Herkt,11,1.1,0,0
Gemeindevertretung,1206318606,63,186,Märkisch Luch,,Wahlberechtigt,Wahlberechtigt,1109,100,0,0
Gemeindevertretung,1206318606,63,186,Märkisch Luch,,Wähler,Wähler,644,58.1,0,0
Gemeindevertretung,1206318606,63,186,Märkisch Luch,,Wahlschein,Wahlschein,79,12.3,0,0
Gemeindevertretung,1206318606,63,186,Märkisch Luch,,Gueltig,Gueltig,1882,97.4,0,0
Gemeindevertretung,1206318606,63,186,Märkisch Luch,,Ungueltig,Ungueltig,13,2,0,0
Gemeindevertretung,1206318606,63,186,Märkisch Luch,,Sitze,Sitze,10,100,0,0
Gemeindevertretung,1206318606,63,186,Märkisch Luch,WG,UWB,Unabhängige Wählergruppe Barnewitz,430,22.8,2,0
Gemeindevertretung,1206318606,63,186,Märkisch Luch,WG,Märkisch Luch,Märkisch Luch,824,43.8,5,0
Gemeindevertretung,1206318606,63,186,Märkisch Luch,EB,EB Rosanski,Einzelwahlvorschlag Rosanski,40,2.1,0,0
Gemeindevertretung,1206318606,63,186,Märkisch Luch,EB,EB Marquart,Einzelwahlvorschlag Marquart,60,3.2,0,0
Gemeindevertretung,1206318606,63,186,Märkisch Luch,WG,Märkisch Luch bewegt,Märkisch Luch bewegt,528,28.1,3,2
Gemeindevertretung,1206321206,63,212,Nennhausen,,Wahlberechtigt,Wahlberechtigt,1617,100,0,0
Gemeindevertretung,1206321206,63,212,Nennhausen,,Wähler,Wähler,1002,62,0,0
Gemeindevertretung,1206321206,63,212,Nennhausen,,Wahlschein,Wahlschein,181,18.1,0,0
Gemeindevertretung,1206321206,63,212,Nennhausen,,Gueltig,Gueltig,2900,96.5,0,0
Gemeindevertretung,1206321206,63,212,Nennhausen,,Ungueltig,Ungueltig,23,2.3,0,0
Gemeindevertretung,1206321206,63,212,Nennhausen,,Sitze,Sitze,12,100,0,0
Gemeindevertretung,1206321206,63,212,Nennhausen,WG,Gemeinsam vor Ort,Gemeinsam vor Ort,1952,67.3,8,4
Gemeindevertretung,1206321206,63,212,Nennhausen,WG,Zukunft für die Gemeinde Nennhausen,"Unabhängige Bürgerinitiative ""Zukunft für die Gemeinde Nennhausen""",948,32.7,4,3
Gemeindevertretung,1206329306,63,293,Stechow-Ferchesar,,Wahlberechtigt,Wahlberechtigt,764,100,0,0
Gemeindevertretung,1206329306,63,293,Stechow-Ferchesar,,Wähler,Wähler,507,66.4,0,0
Gemeindevertretung,1206329306,63,293,Stechow-Ferchesar,,Wahlschein,Wahlschein,108,21.3,0,0
Gemeindevertretung,1206329306,63,293,Stechow-Ferchesar,,Gueltig,Gueltig,1501,98.7,0,0
Gemeindevertretung,1206329306,63,293,Stechow-Ferchesar,,Ungueltig,Ungueltig,4,0.8,0,0
Gemeindevertretung,1206329306,63,293,Stechow-Ferchesar,,Sitze,Sitze,10,100,0,0
Gemeindevertretung,1206329306,63,293,Stechow-Ferchesar,WG,u.p.W.S.,unabhängige parteilose Wählergruppe Stechow,846,56.4,6,2
Gemeindevertretung,1206329306,63,293,Stechow-Ferchesar,WG,FWF,FREIE WÄHLER FERCHESAR,538,35.8,4,1
Gemeindevertretung,1206329306,63,293,Stechow-Ferchesar,EB,EB Wegwerth,Einzelwahlvorschlag Wegwerth,78,5.2,0,0
Gemeindevertretung,1206329306,63,293,Stechow-Ferchesar,EB,EB Isensee,Einzelwahlvorschlag Isensee,39,2.6,0,0
Gemeindevertretung,1206309409,63,094,Gollenberg,,Wahlberechtigt,Wahlberechtigt,352,100,0,0
Gemeindevertretung,1206309409,63,094,Gollenberg,,Wähler,Wähler,214,60.8,0,0
Gemeindevertretung,1206309409,63,094,Gollenberg,,Wahlschein,Wahlschein,50,23.4,0,0
Gemeindevertretung,1206309409,63,094,Gollenberg,,Gueltig,Gueltig,633,98.6,0,0
Gemeindevertretung,1206309409,63,094,Gollenberg,,Ungueltig,Ungueltig,3,1.4,0,0
Gemeindevertretung,1206309409,63,094,Gollenberg,,Sitze,Sitze,8,100,0,0
Gemeindevertretung,1206309409,63,094,Gollenberg,P,SPD,Sozialdemokratische Partei Deutschlands,102,16.1,1,0
Gemeindevertretung,1206309409,63,094,Gollenberg,P,FDP,Freie Demokratische Partei,531,83.9,7,3
Gemeindevertretung,1206311209,63,112,Großderschau,,Wahlberechtigt,Wahlberechtigt,403,100,0,0
Gemeindevertretung,1206311209,63,112,Großderschau,,Wähler,Wähler,287,71.2,0,0
Gemeindevertretung,1206311209,63,112,Großderschau,,Wahlschein,Wahlschein,26,9.1,0,0
Gemeindevertretung,1206311209,63,112,Großderschau,,Gueltig,Gueltig,831,96.5,0,0
Gemeindevertretung,1206311209,63,112,Großderschau,,Ungueltig,Ungueltig,6,2.1,0,0
Gemeindevertretung,1206311209,63,112,Großderschau,,Sitze,Sitze,8,100,0,0
Gemeindevertretung,1206311209,63,112,Großderschau,P,SPD,Sozialdemokratische Partei Deutschlands,214,25.8,2,2
Gemeindevertretung,1206311209,63,112,Großderschau,WG,Bauern,Wählergruppe Bauern,204,24.5,2,0
Gemeindevertretung,1206311209,63,112,Großderschau,EB,EB Specht,"Specht, Roland",171,20.6,1,0
Gemeindevertretung,1206311209,63,112,Großderschau,EB,EB Lamprecht,"Lamprecht, Norbert",71,8.5,1,0
Gemeindevertretung,1206311209,63,112,Großderschau,EB,EB Ratzmer,"Ratzmer, Ivonne",74,8.9,1,1
Gemeindevertretung,1206311209,63,112,Großderschau,EB,EB Heide,"Heide, Ullrich",26,3.1,0,0
Gemeindevertretung,1206311209,63,112,Großderschau,EB,EB Sossna,"Sossna, Christian",71,8.5,1,0
Gemeindevertretung,1206313409,63,134,Havelaue,,Wahlberechtigt,Wahlberechtigt,751,100,0,0
Gemeindevertretung,1206313409,63,134,Havelaue,,Wähler,Wähler,547,72.8,0,0
Gemeindevertretung,1206313409,63,134,Havelaue,,Wahlschein,Wahlschein,61,11.2,0,0
Gemeindevertretung,1206313409,63,134,Havelaue,,Gueltig,Gueltig,1587,96.7,0,0
Gemeindevertretung,1206313409,63,134,Havelaue,,Ungueltig,Ungueltig,13,2.4,0,0
Gemeindevertretung,1206313409,63,134,Havelaue,,Sitze,Sitze,10,100,0,0
Gemeindevertretung,1206313409,63,134,Havelaue,P,SPD,Sozialdemokratische Partei Deutschlands,302,19,2,2
Gemeindevertretung,1206313409,63,134,Havelaue,P,CDU,Christlich Demokratische Union Deutschlands,294,18.5,2,0
Gemeindevertretung,1206313409,63,134,Havelaue,P,DIE LINKE,DIE LINKE,241,15.2,2,0
Gemeindevertretung,1206313409,63,134,Havelaue,P,FDP,Freie Demokratische Partei,518,32.6,3,0
Gemeindevertretung,1206313409,63,134,Havelaue,WG,SGH,Schöne Gemeinde Havelaue,150,9.5,1,0
Gemeindevertretung,1206313409,63,134,Havelaue,EB,EB Drese,"Drese, Jacqueline",51,3.2,0,0
Gemeindevertretung,1206313409,63,134,Havelaue,EB,EB Schmidt,"Schmidt, Mathias",31,2,0,0
Gemeindevertretung,1206316109,63,161,Kleßen-Görne,,Wahlberechtigt,Wahlberechtigt,307,100,0,0
Gemeindevertretung,1206316109,63,161,Kleßen-Görne,,Wähler,Wähler,234,76.2,0,0
Gemeindevertretung,1206316109,63,161,Kleßen-Görne,,Wahlschein,Wahlschein,156,66.7,0,0
Gemeindevertretung,1206316109,63,161,Kleßen-Görne,,Gueltig,Gueltig,699,99.6,0,0
Gemeindevertretung,1206316109,63,161,Kleßen-Görne,,Ungueltig,Ungueltig,1,0.4,0,0
Gemeindevertretung,1206316109,63,161,Kleßen-Görne,,Sitze,Sitze,8,100,0,0
Gemeindevertretung,1206316109,63,161,Kleßen-Görne,P,SPD,Sozialdemokratische Partei Deutschlands,84,12,1,0
Gemeindevertretung,1206316109,63,161,Kleßen-Görne,P,CDU,Christlich Demokratische Union Deutschlands,237,33.9,3,0
Gemeindevertretung,1206316109,63,161,Kleßen-Görne,EB,EB Leist,"Leist, Sven",98,14,1,0
Gemeindevertretung,1206316109,63,161,Kleßen-Görne,EB,EB Mundry,"Mundry, Maria",37,5.3,0,0
Gemeindevertretung,1206316109,63,161,Kleßen-Görne,EB,EB Siebert,"Siebert, Carmen",137,19.6,2,1
Gemeindevertretung,1206316109,63,161,Kleßen-Görne,EB,EB Zander,"Zander, Paul Egon",106,15.2,1,0
Gemeindevertretung,1206326009,63,260,"Rhinow, Stadt",,Wahlberechtigt,Wahlberechtigt,1394,100,0,0
Gemeindevertretung,1206326009,63,260,"Rhinow, Stadt",,Wähler,Wähler,735,52.7,0,0
Gemeindevertretung,1206326009,63,260,"Rhinow, Stadt",,Wahlschein,Wahlschein,155,21.1,0,0
Gemeindevertretung,1206326009,63,260,"Rhinow, Stadt",,Gueltig,Gueltig,2125,96.4,0,0
Gemeindevertretung,1206326009,63,260,"Rhinow, Stadt",,Ungueltig,Ungueltig,12,1.6,0,0
Gemeindevertretung,1206326009,63,260,"Rhinow, Stadt",,Sitze,Sitze,12,100,0,0
Gemeindevertretung,1206326009,63,260,"Rhinow, Stadt",P,SPD,Sozialdemokratische Partei Deutschlands,822,38.7,5,1
Gemeindevertretung,1206326009,63,260,"Rhinow, Stadt",P,CDU,Christlich Demokratische Union Deutschlands,120,5.6,1,0
Gemeindevertretung,1206326009,63,260,"Rhinow, Stadt",P,DIE LINKE,DIE LINKE,153,7.2,1,1
Gemeindevertretung,1206326009,63,260,"Rhinow, Stadt",P,FDP,Freie Demokratische Partei,416,19.6,2,0
Gemeindevertretung,1206326009,63,260,"Rhinow, Stadt",EB,EB Henry Klare,"Klare, Henry",126,5.9,1,0
Gemeindevertretung,1206326009,63,260,"Rhinow, Stadt",EB,EB Axel Klare,"Klare, Axel",113,5.3,0,0
Gemeindevertretung,1206326009,63,260,"Rhinow, Stadt",EB,EB Piske,"Piske, Marco",175,8.2,1,0
Gemeindevertretung,1206326009,63,260,"Rhinow, Stadt",EB,EB Wegner,"Wegner, Ringo",200,9.4,1,0
Gemeindevertretung,1206327409,63,274,Seeblick,,Wahlberechtigt,Wahlberechtigt,776,100,0,0
Gemeindevertretung,1206327409,63,274,Seeblick,,Wähler,Wähler,457,58.9,0,0
Gemeindevertretung,1206327409,63,274,Seeblick,,Wahlschein,Wahlschein,62,13.6,0,0
Gemeindevertretung,1206327409,63,274,Seeblick,,Gueltig,Gueltig,1350,98.5,0,0
Gemeindevertretung,1206327409,63,274,Seeblick,,Ungueltig,Ungueltig,6,1.3,0,0
Gemeindevertretung,1206327409,63,274,Seeblick,,Sitze,Sitze,10,100,0,0
Gemeindevertretung,1206327409,63,274,Seeblick,P,SPD,Sozialdemokratische Partei Deutschlands,678,50.2,6,2
Gemeindevertretung,1206327409,63,274,Seeblick,P,CDU,Christlich Demokratische Union Deutschlands,43,3.2,0,0
Gemeindevertretung,1206327409,63,274,Seeblick,P,FDP,Freie Demokratische Partei,331,24.5,2,0
Gemeindevertretung,1206327409,63,274,Seeblick,EB,EB Höffler,"Höffler, Patrick",167,12.4,1,0
Gemeindevertretung,1206327409,63,274,Seeblick,EB,EB Bukowski,"Bukowski, Bernhard",38,2.8,0,0
Gemeindevertretung,1206327409,63,274,Seeblick,EB,EB Seidel,"Seidel, Kathy",93,6.9,1,1
Gemeindevertretung,12064029,64,029,"Altlandsberg, Stadt",,Wahlberechtigt,Wahlberechtigt,8048,100,0,0
Gemeindevertretung,12064029,64,029,"Altlandsberg, Stadt",,Wähler,Wähler,5045,62.7,0,0
Gemeindevertretung,12064029,64,029,"Altlandsberg, Stadt",,Wahlschein,Wahlschein,1130,22.4,0,0
Gemeindevertretung,12064029,64,029,"Altlandsberg, Stadt",,Gueltig,Gueltig,14723,97.3,0,0
Gemeindevertretung,12064029,64,029,"Altlandsberg, Stadt",,Ungueltig,Ungueltig,93,1.8,0,0
Gemeindevertretung,12064029,64,029,"Altlandsberg, Stadt",,Sitze,Sitze,18,100,0,0
Gemeindevertretung,12064029,64,029,"Altlandsberg, Stadt",P,DIE LINKE,DIE LINKE,2641,17.9,3,1
Gemeindevertretung,12064029,64,029,"Altlandsberg, Stadt",P,SPD,Sozialdemokratische Partei Deutschlands,3363,22.8,4,2
Gemeindevertretung,12064029,64,029,"Altlandsberg, Stadt",P,CDU,Christlich Demokratische Union Deutschlands,1599,10.9,2,1
Gemeindevertretung,12064029,64,029,"Altlandsberg, Stadt",P,AfD,Alternative für Deutschland,2276,15.5,3,0
Gemeindevertretung,12064029,64,029,"Altlandsberg, Stadt",WG,A&O,Aktiv & Offen Wählergruppe für Altlandsberg & Ortsteile,1125,7.6,1,0
Gemeindevertretung,12064029,64,029,"Altlandsberg, Stadt",WG,BSL,Wählergruppe Bürger für Stadt & Land,3020,20.5,4,2
Gemeindevertretung,12064029,64,029,"Altlandsberg, Stadt",EB,EB Prinz,Einzelwahlvorschlag Prinz,374,2.5,1,0
Gemeindevertretung,12064029,64,029,"Altlandsberg, Stadt",EB,EB Kegel,Einzelwahlvorschlag Kegel,325,2.2,0,0
Gemeindevertretung,12064044,64,044,"Bad Freienwalde (Oder), Stadt",,Wahlberechtigt,Wahlberechtigt,10615,100,0,0
Gemeindevertretung,12064044,64,044,"Bad Freienwalde (Oder), Stadt",,Wähler,Wähler,5378,50.7,0,0
Gemeindevertretung,12064044,64,044,"Bad Freienwalde (Oder), Stadt",,Wahlschein,Wahlschein,1192,22.2,0,0
Gemeindevertretung,12064044,64,044,"Bad Freienwalde (Oder), Stadt",,Gueltig,Gueltig,15663,97.1,0,0
Gemeindevertretung,12064044,64,044,"Bad Freienwalde (Oder), Stadt",,Ungueltig,Ungueltig,104,1.9,0,0
Gemeindevertretung,12064044,64,044,"Bad Freienwalde (Oder), Stadt",,Sitze,Sitze,22,100,0,0
Gemeindevertretung,12064044,64,044,"Bad Freienwalde (Oder), Stadt",P,DIE LINKE,DIE LINKE,3142,20.1,4,2
Gemeindevertretung,12064044,64,044,"Bad Freienwalde (Oder), Stadt",P,SPD,Sozialdemokratische Partei Deutschlands,1143,7.3,2,1
Gemeindevertretung,12064044,64,044,"Bad Freienwalde (Oder), Stadt",P,CDU,Christlich Demokratische Union Deutschlands,2359,15.1,3,0
Gemeindevertretung,12064044,64,044,"Bad Freienwalde (Oder), Stadt",P,AfD,Alternative für Deutschland,1917,12.2,3,0
Gemeindevertretung,12064044,64,044,"Bad Freienwalde (Oder), Stadt",P,GRÜNE/B 90,BÜNDNIS 90/DIE GRÜNEN,575,3.7,1,1
Gemeindevertretung,12064044,64,044,"Bad Freienwalde (Oder), Stadt",P,FDP,Freie Demokratische Partei,1228,7.8,2,0
Gemeindevertretung,12064044,64,044,"Bad Freienwalde (Oder), Stadt",LV,BVB / FREIE WÄHLER Bad Freienwalde ,Brandenburger Vereinigte Bürgerbewegungen / Freie Wähler Bad Freienwalde ,314,2,0,0
Gemeindevertretung,12064044,64,044,"Bad Freienwalde (Oder), Stadt",P,NPD,Nationaldemokratische Partei Deutschlands,147,0.9,0,0
Gemeindevertretung,12064044,64,044,"Bad Freienwalde (Oder), Stadt",WG,WG Inselgemeinden ,Wählergruppe Inselgemeinden ,855,5.5,1,1
Gemeindevertretung,12064044,64,044,"Bad Freienwalde (Oder), Stadt",WG,WG NCC ,Wählergruppe Neuenhagener Carneval Club e.V. ,729,4.7,1,0
Gemeindevertretung,12064044,64,044,"Bad Freienwalde (Oder), Stadt",WG,KURSTADT FÜR ALLE ,KURSTADT FÜR ALLE ,556,3.5,1,0
Gemeindevertretung,12064044,64,044,"Bad Freienwalde (Oder), Stadt",EB,EB Göcke ,Einzelwahlvorschlag Göcke ,654,4.2,1,1
Gemeindevertretung,12064044,64,044,"Bad Freienwalde (Oder), Stadt",WG,Wählervereinigung 2019,Wählervereinigung 2019,2044,13,3,1
Gemeindevertretung,12064136,64,136,Fredersdorf-Vogelsdorf,,Wahlberechtigt,Wahlberechtigt,11877,100,0,0
Gemeindevertretung,12064136,64,136,Fredersdorf-Vogelsdorf,,Wähler,Wähler,7236,60.9,0,0
Gemeindevertretung,12064136,64,136,Fredersdorf-Vogelsdorf,,Wahlschein,Wahlschein,1922,26.6,0,0
Gemeindevertretung,12064136,64,136,Fredersdorf-Vogelsdorf,,Gueltig,Gueltig,20974,96.6,0,0
Gemeindevertretung,12064136,64,136,Fredersdorf-Vogelsdorf,,Ungueltig,Ungueltig,91,1.3,0,0
Gemeindevertretung,12064136,64,136,Fredersdorf-Vogelsdorf,,Sitze,Sitze,22,100,0,0
Gemeindevertretung,12064136,64,136,Fredersdorf-Vogelsdorf,P,DIE LINKE,DIE LINKE,3208,15.3,3,2
Gemeindevertretung,12064136,64,136,Fredersdorf-Vogelsdorf,P,SPD,Sozialdemokratische Partei Deutschlands,2063,9.8,2,0
Gemeindevertretung,12064136,64,136,Fredersdorf-Vogelsdorf,P,CDU,Christlich Demokratische Union Deutschlands,4483,21.4,5,1
Gemeindevertretung,12064136,64,136,Fredersdorf-Vogelsdorf,P,AfD,Alternative für Deutschland,3405,16.2,3,1
Gemeindevertretung,12064136,64,136,Fredersdorf-Vogelsdorf,P,GRÜNE/B 90,BÜNDNIS 90/DIE GRÜNEN,1789,8.5,2,0
Gemeindevertretung,12064136,64,136,Fredersdorf-Vogelsdorf,P,FDP,Freie Demokratische Partei,665,3.2,1,0
Gemeindevertretung,12064136,64,136,Fredersdorf-Vogelsdorf,WG,W.I.R. ,W.I.R. ,2600,12.4,3,0
Gemeindevertretung,12064136,64,136,Fredersdorf-Vogelsdorf,EB,"Dischler, Gert ","Dischler, Gert ",164,0.8,0,0
Gemeindevertretung,12064136,64,136,Fredersdorf-Vogelsdorf,EB,"Dr. Nagel, Detlef ","Dr. Nagel, Detlef ",481,2.3,0,0
Gemeindevertretung,12064136,64,136,Fredersdorf-Vogelsdorf,WG,BFFV ,Bürgerforum Fredersdorf-Vogelsdorf ,1525,7.3,2,0
Gemeindevertretung,12064136,64,136,Fredersdorf-Vogelsdorf,WG,FuD,Für unsere Dörfer ,591,2.8,1,0
Gemeindevertretung,12064227,64,227,Hoppegarten,,Wahlberechtigt,Wahlberechtigt,15257,100,0,0
Gemeindevertretung,12064227,64,227,Hoppegarten,,Wähler,Wähler,9522,62.4,0,0
Gemeindevertretung,12064227,64,227,Hoppegarten,,Wahlschein,Wahlschein,2246,23.6,0,0
Gemeindevertretung,12064227,64,227,Hoppegarten,,Gueltig,Gueltig,27677,96.9,0,0
Gemeindevertretung,12064227,64,227,Hoppegarten,,Ungueltig,Ungueltig,181,1.9,0,0
Gemeindevertretung,12064227,64,227,Hoppegarten,,Sitze,Sitze,28,100,0,0
Gemeindevertretung,12064227,64,227,Hoppegarten,P,DIE LINKE,DIE LINKE,6115,22.1,6,5
Gemeindevertretung,12064227,64,227,Hoppegarten,P,SPD,Sozialdemokratische Partei Deutschlands,2355,8.5,2,0
Gemeindevertretung,12064227,64,227,Hoppegarten,P,CDU,Christlich Demokratische Union Deutschlands,4996,18.1,5,1
Gemeindevertretung,12064227,64,227,Hoppegarten,P,AfD,Alternative für Deutschland,3781,13.7,4,1
Gemeindevertretung,12064227,64,227,Hoppegarten,P,GRÜNE/B 90,BÜNDNIS 90/DIE GRÜNEN,4641,16.8,5,2
Gemeindevertretung,12064227,64,227,Hoppegarten,P,FDP,Freie Demokratische Partei,1232,4.5,1,0
Gemeindevertretung,12064227,64,227,Hoppegarten,WG,BfH,Bündnis für Hoppegarten,829,3,1,0
Gemeindevertretung,12064227,64,227,Hoppegarten,WG,SGB,Siedlergemeinschaft Birkenstein,821,3,1,0
Gemeindevertretung,12064227,64,227,Hoppegarten,WG,VBHOPP,Vereinigte Bürgerbewegung Hoppegarten,719,2.6,1,1
Gemeindevertretung,12064227,64,227,Hoppegarten,WG,FW,Freie Wähler Hoppegarten,749,2.7,1,0
Gemeindevertretung,12064227,64,227,Hoppegarten,WG,"IG der Eigenheimbesitzer, Hoppegarten","Initiativgruppe der Eigenheimbesitzer, Gemeinde Hoppegarten",552,2,1,0
Gemeindevertretung,12064227,64,227,Hoppegarten,WG,BK,Bürgerkomitee,465,1.7,0,0
Gemeindevertretung,12064227,64,227,Hoppegarten,EB,Sven Siebert,Sven Siebert,422,1.5,0,0
Gemeindevertretung,12064274,64,274,Letschin,,Wahlberechtigt,Wahlberechtigt,3476,100,0,0
Gemeindevertretung,12064274,64,274,Letschin,,Wähler,Wähler,2033,58.5,0,0
Gemeindevertretung,12064274,64,274,Letschin,,Wahlschein,Wahlschein,2,0.1,0,0
Gemeindevertretung,12064274,64,274,Letschin,,Gueltig,Gueltig,5861,96.1,0,0
Gemeindevertretung,12064274,64,274,Letschin,,Ungueltig,Ungueltig,64,3.1,0,0
Gemeindevertretung,12064274,64,274,Letschin,,Sitze,Sitze,16,100,0,0
Gemeindevertretung,12064274,64,274,Letschin,P,DIE LINKE,DIE LINKE,498,8.5,1,0
Gemeindevertretung,12064274,64,274,Letschin,P,SPD,Sozialdemokratische Partei Deutschlands,1366,23.3,4,1
Gemeindevertretung,12064274,64,274,Letschin,P,CDU,Christlich Demokratische Union Deutschlands,612,10.4,2,2
Gemeindevertretung,12064274,64,274,Letschin,WG,FWL,Freie Wählergemeinschaft Letschin,2462,42,7,2
Gemeindevertretung,12064274,64,274,Letschin,WG,WiO,Wir im Oderbruch,923,15.7,2,0
Gemeindevertretung,12064317,64,317,"Müncheberg, Stadt",,Wahlberechtigt,Wahlberechtigt,5788,100,0,0
Gemeindevertretung,12064317,64,317,"Müncheberg, Stadt",,Wähler,Wähler,3404,58.8,0,0
Gemeindevertretung,12064317,64,317,"Müncheberg, Stadt",,Wahlschein,Wahlschein,806,23.7,0,0
Gemeindevertretung,12064317,64,317,"Müncheberg, Stadt",,Gueltig,Gueltig,9867,96.6,0,0
Gemeindevertretung,12064317,64,317,"Müncheberg, Stadt",,Ungueltig,Ungueltig,61,1.8,0,0
Gemeindevertretung,12064317,64,317,"Müncheberg, Stadt",,Sitze,Sitze,18,100,0,0
