Stimmart,ARS,"Landkreisnummer","Gemeindenummer",Gemeindename,Art des Wahl-vorschlags,"Kurzname","Langname",Anzahl,in Prozent,Sitze,darunter Sitze weiblich,nachrichtlich: Sitze Anspruch,Hinweis
Gemeindevertretung,120610260260,61,260,"Königs Wusterhausen, Stadt",,Gültig,Gültig,57223,95,,,,
Gemeindevertretung,120610260260,61,260,"Königs Wusterhausen, Stadt",,Sitze,Sitze,36,x,36,13,36,
Gemeindevertretung,120610260260,61,260,"Königs Wusterhausen, Stadt",P,SPD,Sozialdemokratische Partei Deutschlands,12205,21.3,8,4,8,
Gemeindevertretung,120610260260,61,260,"Königs Wusterhausen, Stadt",P,AfD,Alternative für Deutschland,12716,22.2,8,1,8,
Gemeindevertretung,120610260260,61,260,"Königs Wusterhausen, Stadt",P,CDU,Christlich Demokratische Union Deutschlands,10978,19.2,7,2,7,
Gemeindevertretung,120610260260,61,260,"Königs Wusterhausen, Stadt",P,DIE LINKE,DIE LINKE,3419,6,2,0,2,
Gemeindevertretung,120610260260,61,260,"Königs Wusterhausen, Stadt",P,GRÜNE/B 90,BÜNDNIS 90/DIE GRÜNEN,2730,4.8,2,2,2,
Gemeindevertretung,120610260260,61,260,"Königs Wusterhausen, Stadt",P,FDP,Freie Demokratische Partei,874,1.5,1,0,1,
Gemeindevertretung,120610260260,61,260,"Königs Wusterhausen, Stadt",LV,BVB / FREIE WÄHLER,Brandenburger Vereinigte Bürgerbewegungen / Freie Wähler,657,1.1,1,1,1,
Gemeindevertretung,120610260260,61,260,"Königs Wusterhausen, Stadt",WG,FWKW,Freie Unabhängige Wählergemeinschaft Königs Wusterhausen,6899,12.1,4,2,4,
Gemeindevertretung,120610260260,61,260,"Königs Wusterhausen, Stadt",WG,Wir für KW,Wir für KW e. V.,2234,3.9,1,0,1,
Gemeindevertretung,120610260260,61,260,"Königs Wusterhausen, Stadt",P,Die PARTEI,"Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative",656,1.1,0,0,0,
Gemeindevertretung,120610260260,61,260,"Königs Wusterhausen, Stadt",WG,BKW VG,Bündnis KW für Vernunft und Gerechtigkeit,2102,3.7,1,0,1,
Gemeindevertretung,120610260260,61,260,"Königs Wusterhausen, Stadt",WG,BVO,BÜRGER VOR ORT,475,0.8,0,0,0,
Gemeindevertretung,120610260260,61,260,"Königs Wusterhausen, Stadt",EB,EB Jung,Einzelwahlvorschlag Jung,204,0.4,0,0,0,
Gemeindevertretung,120610260260,61,260,"Königs Wusterhausen, Stadt",WG,UFL,Unabhängige Frauenliste Königs Wusterhausen,1074,1.9,1,1,1,
Gemeindevertretung,120610316316,61,316,"Lübben (Spreewald), Stadt",,Anzahl Wahlbezirke,Anzahl Wahlbezirke,18,x,,,,
Gemeindevertretung,120610316316,61,316,"Lübben (Spreewald), Stadt",,Ausgezählte Wahlbezirke,Ausgezählte Wahlbezirke,18,100,,,,
Gemeindevertretung,120610316316,61,316,"Lübben (Spreewald), Stadt",,Wahlberechtigt,Wahlberechtigt,11885,100,,,,
Gemeindevertretung,120610316316,61,316,"Lübben (Spreewald), Stadt",,Wähler,Wähler,7675,64.6,,,,
Gemeindevertretung,120610316316,61,316,"Lübben (Spreewald), Stadt",,Wahlschein,Wahlschein,2407,31.4,,,,
Gemeindevertretung,120610316316,61,316,"Lübben (Spreewald), Stadt",,Ungültig,Ungültig,117,1.5,,,,
Gemeindevertretung,120610316316,61,316,"Lübben (Spreewald), Stadt",,Gültig,Gültig,22348,97.1,,,,
Gemeindevertretung,120610316316,61,316,"Lübben (Spreewald), Stadt",,Sitze,Sitze,22,x,22,7,22,
Gemeindevertretung,120610316316,61,316,"Lübben (Spreewald), Stadt",P,SPD,Sozialdemokratische Partei Deutschlands,2634,11.8,2,1,2,
Gemeindevertretung,120610316316,61,316,"Lübben (Spreewald), Stadt",P,AfD,Alternative für Deutschland,4176,18.7,4,0,4,
Gemeindevertretung,120610316316,61,316,"Lübben (Spreewald), Stadt",P,CDU,Christlich Demokratische Union Deutschlands,4231,18.9,4,1,4,
Gemeindevertretung,120610316316,61,316,"Lübben (Spreewald), Stadt",P,DIE LINKE,DIE LINKE,1067,4.8,1,0,1,
Gemeindevertretung,120610316316,61,316,"Lübben (Spreewald), Stadt",P,GRÜNE/B 90,BÜNDNIS 90/DIE GRÜNEN,707,3.2,1,1,1,
Gemeindevertretung,120610316316,61,316,"Lübben (Spreewald), Stadt",WG,PRO LÜBBEN,PRO LÜBBEN,5133,23,5,2,5,
Gemeindevertretung,120610316316,61,316,"Lübben (Spreewald), Stadt",WG,WG diestadtfraktion,WG diestadtfraktion,1722,7.7,2,0,2,
Gemeindevertretung,120610316316,61,316,"Lübben (Spreewald), Stadt",WG,UL,"Bürgerinitiative ""Unser Lübben""",2678,12,3,2,3,
Gemeindevertretung,120610320320,61,320,"Luckau, Stadt",,Anzahl Wahlbezirke,Anzahl Wahlbezirke,28,x,,,,
Gemeindevertretung,120610320320,61,320,"Luckau, Stadt",,Ausgezählte Wahlbezirke,Ausgezählte Wahlbezirke,28,100,,,,
Gemeindevertretung,120610320320,61,320,"Luckau, Stadt",,Wahlberechtigt,Wahlberechtigt,7812,100,,,,
Gemeindevertretung,120610320320,61,320,"Luckau, Stadt",,Wähler,Wähler,5199,66.6,,,,
Gemeindevertretung,120610320320,61,320,"Luckau, Stadt",,Wahlschein,Wahlschein,1256,24.2,,,,
Gemeindevertretung,120610320320,61,320,"Luckau, Stadt",,Ungültig,Ungültig,123,2.4,,,,
Gemeindevertretung,120610320320,61,320,"Luckau, Stadt",,Gültig,Gültig,15088,96.7,,,,
Gemeindevertretung,120610320320,61,320,"Luckau, Stadt",,Sitze,Sitze,18,x,18,3,18,
Gemeindevertretung,120610320320,61,320,"Luckau, Stadt",P,SPD,Sozialdemokratische Partei Deutschlands,2842,18.8,3,2,3,
Gemeindevertretung,120610320320,61,320,"Luckau, Stadt",P,CDU,Christlich Demokratische Union Deutschlands,2260,15,3,0,3,
Gemeindevertretung,120610320320,61,320,"Luckau, Stadt",P,DIE LINKE,DIE LINKE,995,6.6,1,0,1,
Gemeindevertretung,120610320320,61,320,"Luckau, Stadt",P,GRÜNE/B 90,BÜNDNIS 90/DIE GRÜNEN,413,2.7,0,0,0,
Gemeindevertretung,120610320320,61,320,"Luckau, Stadt",P,FDP,Freie Demokratische Partei,1020,6.8,1,0,1,
Gemeindevertretung,120610320320,61,320,"Luckau, Stadt",EB,EB Jahnke,Einzelwahlvorschlag Jahnke,736,4.9,1,0,1,
Gemeindevertretung,120610320320,61,320,"Luckau, Stadt",WG,Luckau-Land,Luckau-Land,3417,22.6,4,0,4,
Gemeindevertretung,120610320320,61,320,"Luckau, Stadt",WG,UWG,Unabhängige Wählergemeinschaft Luckau,2959,19.6,4,1,4,
Gemeindevertretung,120610320320,61,320,"Luckau, Stadt",P,Volt,Volt Deutschland,446,3,1,0,1,
Gemeindevertretung,120610329329,61,329,Märkische Heide,,Anzahl Wahlbezirke,Anzahl Wahlbezirke,16,x,,,,
Gemeindevertretung,120610329329,61,329,Märkische Heide,,Ausgezählte Wahlbezirke,Ausgezählte Wahlbezirke,16,100,,,,
Gemeindevertretung,120610329329,61,329,Märkische Heide,,Wahlberechtigt,Wahlberechtigt,3352,100,,,,
Gemeindevertretung,120610329329,61,329,Märkische Heide,,Wähler,Wähler,2591,77.3,,,,
Gemeindevertretung,120610329329,61,329,Märkische Heide,,Wahlschein,Wahlschein,528,20.4,,,,
Gemeindevertretung,120610329329,61,329,Märkische Heide,,Ungültig,Ungültig,41,1.6,,,,
Gemeindevertretung,120610329329,61,329,Märkische Heide,,Gültig,Gültig,7568,97.4,,,,
Gemeindevertretung,120610329329,61,329,Märkische Heide,,Sitze,Sitze,16,x,16,6,16,
Gemeindevertretung,120610329329,61,329,Märkische Heide,P,SPD,Sozialdemokratische Partei Deutschlands,1032,13.6,2,1,2,
Gemeindevertretung,120610329329,61,329,Märkische Heide,P,AfD,Alternative für Deutschland,1528,20.2,3,1,3,
Gemeindevertretung,120610329329,61,329,Märkische Heide,P,CDU,Christlich Demokratische Union Deutschlands,1106,14.6,2,0,2,
Gemeindevertretung,120610329329,61,329,Märkische Heide,P,DIE LINKE,DIE LINKE,187,2.5,1,1,1,
Gemeindevertretung,120610329329,61,329,Märkische Heide,EB,EB Rottenau,Einzelwahlvorschlag Rottenau,185,2.4,0,0,0,
Gemeindevertretung,120610329329,61,329,Märkische Heide,WG,Märkische Heide,Wählergruppe Pro Märkische Heide,2870,37.9,6,2,6,
Gemeindevertretung,120610329329,61,329,Märkische Heide,EB,EB Bretzke,Einzelwahlvorschlag Bretzke,291,3.8,1,0,1,
Gemeindevertretung,120610329329,61,329,Märkische Heide,EB,EB Sonnenberg,Einzelwahlvorschlag Sonnenberg,369,4.9,1,1,1,
Gemeindevertretung,120610332332,61,332,"Mittenwalde, Stadt",,Anzahl Wahlbezirke,Anzahl Wahlbezirke,14,x,,,,
Gemeindevertretung,120610332332,61,332,"Mittenwalde, Stadt",,Ausgezählte Wahlbezirke,Ausgezählte Wahlbezirke,14,100,,,,
Gemeindevertretung,120610332332,61,332,"Mittenwalde, Stadt",,Wahlberechtigt,Wahlberechtigt,8181,100,,,,
Gemeindevertretung,120610332332,61,332,"Mittenwalde, Stadt",,Wähler,Wähler,5728,70,,,,
Gemeindevertretung,120610332332,61,332,"Mittenwalde, Stadt",,Wahlschein,Wahlschein,1406,24.5,,,,
Gemeindevertretung,120610332332,61,332,"Mittenwalde, Stadt",,Ungültig,Ungültig,91,1.6,,,,
Gemeindevertretung,120610332332,61,332,"Mittenwalde, Stadt",,Gültig,Gültig,16827,97.9,,,,
Gemeindevertretung,120610332332,61,332,"Mittenwalde, Stadt",,Sitze,Sitze,16,x,16,4,18,
Gemeindevertretung,120610332332,61,332,"Mittenwalde, Stadt",P,SPD,Sozialdemokratische Partei Deutschlands,1061,6.3,1,1,1,
Gemeindevertretung,120610332332,61,332,"Mittenwalde, Stadt",P,AfD,Alternative für Deutschland,3436,20.4,2,0,4,
Gemeindevertretung,120610332332,61,332,"Mittenwalde, Stadt",P,CDU,Christlich Demokratische Union Deutschlands,3212,19.1,3,1,3,
Gemeindevertretung,120610332332,61,332,"Mittenwalde, Stadt",P,DIE LINKE,DIE LINKE,767,4.6,1,1,1,
Gemeindevertretung,120610332332,61,332,"Mittenwalde, Stadt",P,GRÜNE/B 90,BÜNDNIS 90/DIE GRÜNEN,659,3.9,1,0,1,
Gemeindevertretung,120610332332,61,332,"Mittenwalde, Stadt",P,FDP,Freie Demokratische Partei,260,1.5,0,0,0,
Gemeindevertretung,120610332332,61,332,"Mittenwalde, Stadt",LV,Pro Bürger – Hand in Hand,Pro Bürger – Hand in Hand,3160,18.8,3,0,3,
Gemeindevertretung,120610332332,61,332,"Mittenwalde, Stadt",LV,Bürger für Bürger & BVB/Freie Wähler,Bürger für Bürger & BVB/Freie Wähler,3465,20.6,4,0,4,
Gemeindevertretung,120610332332,61,332,"Mittenwalde, Stadt",WG,GWS,Gemeinsam Werte Schaffen,807,4.8,1,1,1,
Gemeindevertretung,120610433433,61,433,Schönefeld,,Anzahl Wahlbezirke,Anzahl Wahlbezirke,26,x,,,,
Gemeindevertretung,120610433433,61,433,Schönefeld,,Ausgezählte Wahlbezirke,Ausgezählte Wahlbezirke,26,100,,,,
Gemeindevertretung,120610433433,61,433,Schönefeld,,Wahlberechtigt,Wahlberechtigt,14655,100,,,,
Gemeindevertretung,120610433433,61,433,Schönefeld,,Wähler,Wähler,8234,56.2,,,,
Gemeindevertretung,120610433433,61,433,Schönefeld,,Wahlschein,Wahlschein,2295,27.9,,,,
Gemeindevertretung,120610433433,61,433,Schönefeld,,Ungültig,Ungültig,175,2.1,,,,
Gemeindevertretung,120610433433,61,433,Schönefeld,,Gültig,Gültig,23852,96.6,,,,
Gemeindevertretung,120610433433,61,433,Schönefeld,,Sitze,Sitze,28,x,28,5,28,
Gemeindevertretung,120610433433,61,433,Schönefeld,P,SPD,Sozialdemokratische Partei Deutschlands,3048,12.8,4,0,4,
Gemeindevertretung,120610433433,61,433,Schönefeld,P,AfD,Alternative für Deutschland,5174,21.7,6,1,6,
Gemeindevertretung,120610433433,61,433,Schönefeld,P,CDU,Christlich Demokratische Union Deutschlands,6133,25.7,7,2,7,
Gemeindevertretung,120610433433,61,433,Schönefeld,P,DIE LINKE,DIE LINKE,1278,5.4,2,0,2,
Gemeindevertretung,120610433433,61,433,Schönefeld,P,GRÜNE/B 90,BÜNDNIS 90/DIE GRÜNEN,997,4.2,1,1,1,
Gemeindevertretung,120610433433,61,433,Schönefeld,WG,FWS,Freie Wähler Schönefeld,979,4.1,1,0,1,
Gemeindevertretung,120610433433,61,433,Schönefeld,WG,BIS,Bürgerinitiative Schönefeld - Die Wählergruppe mit BiS(s),3366,14.1,4,1,4,
Gemeindevertretung,120610433433,61,433,Schönefeld,WG,Schönefeld machen!,"Wählergruppe ""Schönefeld machen!""",2877,12.1,3,0,3,
Gemeindevertretung,120610444444,61,444,Schulzendorf,,Anzahl Wahlbezirke,Anzahl Wahlbezirke,10,x,,,,
Gemeindevertretung,120610444444,61,444,Schulzendorf,,Ausgezählte Wahlbezirke,Ausgezählte Wahlbezirke,10,100,,,,
Gemeindevertretung,120610444444,61,444,Schulzendorf,,Wahlberechtigt,Wahlberechtigt,7639,100,,,,
Gemeindevertretung,120610444444,61,444,Schulzendorf,,Wähler,Wähler,5313,69.6,,,,
Gemeindevertretung,120610444444,61,444,Schulzendorf,,Wahlschein,Wahlschein,1638,30.8,,,,
Gemeindevertretung,120610444444,61,444,Schulzendorf,,Ungültig,Ungültig,82,1.5,,,,
Gemeindevertretung,120610444444,61,444,Schulzendorf,,Gültig,Gültig,15548,97.5,,,,
Gemeindevertretung,120610444444,61,444,Schulzendorf,,Sitze,Sitze,18,x,18,7,18,
Gemeindevertretung,120610444444,61,444,Schulzendorf,P,SPD,Sozialdemokratische Partei Deutschlands,2995,19.3,3,1,3,
Gemeindevertretung,120610444444,61,444,Schulzendorf,P,AfD,Alternative für Deutschland,3325,21.4,4,1,4,
Gemeindevertretung,120610444444,61,444,Schulzendorf,P,CDU,Christlich Demokratische Union Deutschlands,2748,17.7,3,1,3,
Gemeindevertretung,120610444444,61,444,Schulzendorf,P,DIE LINKE,DIE LINKE,1468,9.4,2,2,2,
Gemeindevertretung,120610444444,61,444,Schulzendorf,P,GRÜNE/B 90,BÜNDNIS 90/DIE GRÜNEN,1143,7.4,1,0,1,
Gemeindevertretung,120610444444,61,444,Schulzendorf,P,FDP,Freie Demokratische Partei,484,3.1,1,0,1,
Gemeindevertretung,120610444444,61,444,Schulzendorf,PV,Bürgerbündnis,BürgerBündnis freier Wähler e. V.,1841,11.8,2,1,2,
Gemeindevertretung,120610444444,61,444,Schulzendorf,WG,Gemeinsam für Schulzendorf,Wählergruppe Gemeinsam für Schulzendorf,1544,9.9,2,1,2,
Gemeindevertretung,120610540540,61,540,"Wildau, Stadt",,Anzahl Wahlbezirke,Anzahl Wahlbezirke,11,x,,,,
Gemeindevertretung,120610540540,61,540,"Wildau, Stadt",,Ausgezählte Wahlbezirke,Ausgezählte Wahlbezirke,11,100,,,,
Gemeindevertretung,120610540540,61,540,"Wildau, Stadt",,Wahlberechtigt,Wahlberechtigt,8779,100,,,,
Gemeindevertretung,120610540540,61,540,"Wildau, Stadt",,Wähler,Wähler,5546,63.2,,,,
Gemeindevertretung,120610540540,61,540,"Wildau, Stadt",,Wahlschein,Wahlschein,1637,29.5,,,,
Gemeindevertretung,120610540540,61,540,"Wildau, Stadt",,Ungültig,Ungültig,77,1.4,,,,
Gemeindevertretung,120610540540,61,540,"Wildau, Stadt",,Gültig,Gültig,16222,97.5,,,,
Gemeindevertretung,120610540540,61,540,"Wildau, Stadt",,Sitze,Sitze,19,x,19,4,22,
Gemeindevertretung,120610540540,61,540,"Wildau, Stadt",P,SPD,Sozialdemokratische Partei Deutschlands,2541,15.7,3,1,3,
Gemeindevertretung,120610540540,61,540,"Wildau, Stadt",P,AfD,Alternative für Deutschland,2739,16.9,2,0,4,
Gemeindevertretung,120610540540,61,540,"Wildau, Stadt",P,CDU,Christlich Demokratische Union Deutschlands,1960,12.1,3,1,3,
Gemeindevertretung,120610540540,61,540,"Wildau, Stadt",P,DIE LINKE,DIE LINKE,1049,6.5,1,1,1,
Gemeindevertretung,120610540540,61,540,"Wildau, Stadt",P,GRÜNE/B 90,BÜNDNIS 90/DIE GRÜNEN,905,5.6,1,0,1,
Gemeindevertretung,120610540540,61,540,"Wildau, Stadt",WG,BBW,Bürgerbündnis Wildau,2869,17.7,4,1,4,
Gemeindevertretung,120610540540,61,540,"Wildau, Stadt",WG,BfW,Bürger für Wildau,1995,12.3,3,0,3,
Gemeindevertretung,120610540540,61,540,"Wildau, Stadt",WG,GfW,Gemeinsam für Wildau,850,5.2,1,0,1,
Gemeindevertretung,120610540540,61,540,"Wildau, Stadt",EB,EB Prof. Dr. Dr. Ungvari,Prof. Dr. Dr. Ungvari,1314,8.1,1,0,2,
Gemeindevertretung,120610572572,61,572,Zeuthen,,Anzahl Wahlbezirke,Anzahl Wahlbezirke,13,x,,,,
Gemeindevertretung,120610572572,61,572,Zeuthen,,Ausgezählte Wahlbezirke,Ausgezählte Wahlbezirke,13,100,,,,
Gemeindevertretung,120610572572,61,572,Zeuthen,,Wahlberechtigt,Wahlberechtigt,9686,100,,,,
Gemeindevertretung,120610572572,61,572,Zeuthen,,Wähler,Wähler,6871,70.9,,,,
Gemeindevertretung,120610572572,61,572,Zeuthen,,Wahlschein,Wahlschein,2308,33.6,,,,
Gemeindevertretung,120610572572,61,572,Zeuthen,,Ungültig,Ungültig,132,1.9,,,,
Gemeindevertretung,120610572572,61,572,Zeuthen,,Gültig,Gültig,20070,97.4,,,,
Gemeindevertretung,120610572572,61,572,Zeuthen,,Sitze,Sitze,22,x,22,9,22,
Gemeindevertretung,120610572572,61,572,Zeuthen,P,SPD,Sozialdemokratische Partei Deutschlands,3377,16.8,4,2,4,
Gemeindevertretung,120610572572,61,572,Zeuthen,P,CDU,Christlich Demokratische Union Deutschlands,4197,20.9,4,2,4,
Gemeindevertretung,120610572572,61,572,Zeuthen,P,DIE LINKE,DIE LINKE,1746,8.7,2,1,2,
Gemeindevertretung,120610572572,61,572,Zeuthen,P,GRÜNE/B 90,BÜNDNIS 90/DIE GRÜNEN,2465,12.3,3,2,3,
Gemeindevertretung,120610572572,61,572,Zeuthen,WG,BfZ,Wählergruppe Bürger für Zeuthen,7597,37.9,8,1,8,
Gemeindevertretung,120610572572,61,572,Zeuthen,WG,Z.U.M. Leben,Wählergemeinschaft Zukunft. Umwelt. Mensch. Leben,688,3.4,1,1,1,
Gemeindevertretung,120615108192,61,192,Groß Köris,,Anzahl Wahlbezirke,Anzahl Wahlbezirke,4,x,,,,
Gemeindevertretung,120615108192,61,192,Groß Köris,,Ausgezählte Wahlbezirke,Ausgezählte Wahlbezirke,4,100,,,,
Gemeindevertretung,120615108192,61,192,Groß Köris,,Wahlberechtigt,Wahlberechtigt,2096,100,,,,
Gemeindevertretung,120615108192,61,192,Groß Köris,,Wähler,Wähler,1429,68.2,,,,
Gemeindevertretung,120615108192,61,192,Groß Köris,,Wahlschein,Wahlschein,366,25.6,,,,
Gemeindevertretung,120615108192,61,192,Groß Köris,,Ungültig,Ungültig,27,1.9,,,,
Gemeindevertretung,120615108192,61,192,Groß Köris,,Gültig,Gültig,4166,97.2,,,,
Gemeindevertretung,120615108192,61,192,Groß Köris,,Sitze,Sitze,12,x,12,2,12,
Gemeindevertretung,120615108192,61,192,Groß Köris,P,SPD,Sozialdemokratische Partei Deutschlands,295,7.1,1,1,1,
Gemeindevertretung,120615108192,61,192,Groß Köris,P,AfD,Alternative für Deutschland,878,21.1,3,1,3,
Gemeindevertretung,120615108192,61,192,Groß Köris,P,CDU,Christlich Demokratische Union Deutschlands,257,6.2,1,0,1,
Gemeindevertretung,120615108192,61,192,Groß Köris,P,FDP,Freie Demokratische Partei,156,3.7,0,0,0,
Gemeindevertretung,120615108192,61,192,Groß Köris,LV,BVB/FREIE WÄHLER-Schenkenländchen,BVB/FREIE WÄHLER-Stark fürs Schenkenländchen,65,1.6,0,0,0,
Gemeindevertretung,120615108192,61,192,Groß Köris,WG,BBK,Bürgerbündnis Köris,556,13.3,2,0,2,
Gemeindevertretung,120615108192,61,192,Groß Köris,WG,BBL,BürgerBewegungLöpten,173,4.2,0,0,0,
Gemeindevertretung,120615108192,61,192,Groß Köris,WG,WIR,"Feuerwehr, Tourismus und Vereinsleben",1024,24.6,3,0,3,
Gemeindevertretung,120615108192,61,192,Groß Köris,WG,ZZG,Zusammen die Zukunft gestalten,719,17.3,2,0,2,
Gemeindevertretung,120615108192,61,192,Groß Köris,EB,"EB Stegemann, Jörg","Stegemann, Jörg",43,1,0,0,0,
Gemeindevertretung,120615108216,61,216,Halbe,,Anzahl Wahlbezirke,Anzahl Wahlbezirke,6,x,,,,
Gemeindevertretung,120615108216,61,216,Halbe,,Ausgezählte Wahlbezirke,Ausgezählte Wahlbezirke,6,100,,,,
Gemeindevertretung,120615108216,61,216,Halbe,,Wahlberechtigt,Wahlberechtigt,1882,100,,,,
Gemeindevertretung,120615108216,61,216,Halbe,,Wähler,Wähler,1324,70.4,,,,
Gemeindevertretung,120615108216,61,216,Halbe,,Wahlschein,Wahlschein,268,20.2,,,,
Gemeindevertretung,120615108216,61,216,Halbe,,Ungültig,Ungültig,30,2.3,,,,
Gemeindevertretung,120615108216,61,216,Halbe,,Gültig,Gültig,3845,96.8,,,,
Gemeindevertretung,120615108216,61,216,Halbe,,Sitze,Sitze,12,x,12,4,12,
Gemeindevertretung,120615108216,61,216,Halbe,P,AfD,Alternative für Deutschland,1005,26.1,3,1,3,
Gemeindevertretung,120615108216,61,216,Halbe,LV,BVB/FREIE WÄHLER-Schenkenländchen,BVB/FREIE WÄHLER-Stark fürs Schenkenländchen,438,11.4,1,0,1,
Gemeindevertretung,120615108216,61,216,Halbe,WG,WFH,Wählergruppe WIR FÜR HIER,529,13.8,2,2,2,
Gemeindevertretung,120615108216,61,216,Halbe,WG,Bürgerbündnis Halbe,Bürgerbündnis Halbe,662,17.2,2,1,2,
Gemeindevertretung,120615108216,61,216,Halbe,WG,GFH,Gemeinsam für Halbe,390,10.1,1,0,1,
Gemeindevertretung,120615108216,61,216,Halbe,WG,IZG,Initiative Zukunft Gemeinde,650,16.9,2,0,2,
Gemeindevertretung,120615108216,61,216,Halbe,EB,"EB Schulz, H.","Einzelwahlvorschlag Schulz, H.",171,4.4,1,0,1,
Gemeindevertretung,120615108328,61,328,"Märkisch Buchholz, Stadt",,Anzahl Wahlbezirke,Anzahl Wahlbezirke,3,x,,,,
Gemeindevertretung,120615108328,61,328,"Märkisch Buchholz, Stadt",,Ausgezählte Wahlbezirke,Ausgezählte Wahlbezirke,3,100,,,,
Gemeindevertretung,120615108328,61,328,"Märkisch Buchholz, Stadt",,Wahlberechtigt,Wahlberechtigt,711,100,,,,
Gemeindevertretung,120615108328,61,328,"Märkisch Buchholz, Stadt",,Wähler,Wähler,514,72.3,,,,
Gemeindevertretung,120615108328,61,328,"Märkisch Buchholz, Stadt",,Wahlschein,Wahlschein,129,25.1,,,,
Gemeindevertretung,120615108328,61,328,"Märkisch Buchholz, Stadt",,Ungültig,Ungültig,8,1.6,,,,
Gemeindevertretung,120615108328,61,328,"Märkisch Buchholz, Stadt",,Gültig,Gültig,1513,98.1,,,,
Gemeindevertretung,120615108328,61,328,"Märkisch Buchholz, Stadt",,Sitze,Sitze,9,x,9,3,10,
Gemeindevertretung,120615108328,61,328,"Märkisch Buchholz, Stadt",P,SPD,Sozialdemokratische Partei Deutschlands,88,5.8,0,0,0,
Gemeindevertretung,120615108328,61,328,"Märkisch Buchholz, Stadt",WG,Heimatverein Märkisch Buchholz e.V.,Heimatverein Märkisch Buchholz e.V.,704,46.5,4,0,5,
Gemeindevertretung,120615108328,61,328,"Märkisch Buchholz, Stadt",WG,B:ob,Buchholz: offen und bunt,197,13,1,0,1,
Gemeindevertretung,120615108328,61,328,"Märkisch Buchholz, Stadt",WG,DGKÖ,Dorfgemeinschaft Köthen,247,16.3,2,1,2,
Gemeindevertretung,120615108328,61,328,"Märkisch Buchholz, Stadt",EB,"Steinke, Sandra","Einzelwahlvorschlag Steinke, Sandra",94,6.2,1,1,1,
Gemeindevertretung,120615108328,61,328,"Märkisch Buchholz, Stadt",EB,"Stiehl, Monika","Einzelwahlvorschlag Stiehl, Monika",183,12.1,1,1,1,
Gemeindevertretung,120615108344,61,344,Münchehofe,,Anzahl Wahlbezirke,Anzahl Wahlbezirke,4,x,,,,
Gemeindevertretung,120615108344,61,344,Münchehofe,,Ausgezählte Wahlbezirke,Ausgezählte Wahlbezirke,4,100,,,,
Gemeindevertretung,120615108344,61,344,Münchehofe,,Wahlberechtigt,Wahlberechtigt,438,100,,,,
Gemeindevertretung,120615108344,61,344,Münchehofe,,Wähler,Wähler,369,84.2,,,,
Gemeindevertretung,120615108344,61,344,Münchehofe,,Wahlschein,Wahlschein,51,13.8,,,,
Gemeindevertretung,120615108344,61,344,Münchehofe,,Ungültig,Ungültig,8,2.2,,,,
Gemeindevertretung,120615108344,61,344,Münchehofe,,Gültig,Gültig,1075,97.1,,,,
Gemeindevertretung,120615108344,61,344,Münchehofe,,Sitze,Sitze,8,x,8,2,8,
Gemeindevertretung,120615108344,61,344,Münchehofe,P,SPD,Sozialdemokratische Partei Deutschlands,131,12.2,1,0,1,
Gemeindevertretung,120615108344,61,344,Münchehofe,WG,KuH Verein,Kultur und Heimatverein Münchehofe e.V.,460,42.8,3,1,3,
Gemeindevertretung,120615108344,61,344,Münchehofe,WG,FFB e.V.,Freiwillige Feuerwehr Birkholz e.V.,269,25,2,1,2,
Gemeindevertretung,120615108344,61,344,Münchehofe,WG,FFW Hermsdorf,Freiwillige Feuerwehr Hermsdorf,215,20,2,0,2,
Gemeindevertretung,120615108448,61,448,Schwerin,,Anzahl Wahlbezirke,Anzahl Wahlbezirke,2,x,,,,
Gemeindevertretung,120615108448,61,448,Schwerin,,Ausgezählte Wahlbezirke,Ausgezählte Wahlbezirke,2,100,,,,
Gemeindevertretung,120615108448,61,448,Schwerin,,Wahlberechtigt,Wahlberechtigt,753,100,,,,
Gemeindevertretung,120615108448,61,448,Schwerin,,Wähler,Wähler,568,75.4,,,,
Gemeindevertretung,120615108448,61,448,Schwerin,,Wahlschein,Wahlschein,139,24.5,,,,
Gemeindevertretung,120615108448,61,448,Schwerin,,Ungültig,Ungültig,12,2.1,,,,
Gemeindevertretung,120615108448,61,448,Schwerin,,Gültig,Gültig,1660,97.4,,,,
Gemeindevertretung,120615108448,61,448,Schwerin,,Sitze,Sitze,10,x,10,3,10,
Gemeindevertretung,120615108448,61,448,Schwerin,P,GRÜNE/B 90,BÜNDNIS 90/DIE GRÜNEN,53,3.2,0,0,0,
Gemeindevertretung,120615108448,61,448,Schwerin,WG,BI Schwerin,Bürgerinitiative Schwerin,1607,96.8,10,3,10,
Gemeindevertretung,120615108492,61,492,"Teupitz, Stadt",,Anzahl Wahlbezirke,Anzahl Wahlbezirke,5,x,,,,
Gemeindevertretung,120615108492,61,492,"Teupitz, Stadt",,Ausgezählte Wahlbezirke,Ausgezählte Wahlbezirke,5,100,,,,
Gemeindevertretung,120615108492,61,492,"Teupitz, Stadt",,Wahlberechtigt,Wahlberechtigt,1569,100,,,,
Gemeindevertretung,120615108492,61,492,"Teupitz, Stadt",,Wähler,Wähler,1059,67.5,,,,
Gemeindevertretung,120615108492,61,492,"Teupitz, Stadt",,Wahlschein,Wahlschein,312,29.5,,,,
